DATE,EXCHUS
01/04/2020,7.0708
01/05/2020,7.1016
01/06/2020,7.0816
01/07/2020,7.0041
01/08/2020,6.927
01/09/2020,6.8106
01/10/2020,6.7254
01/11/2020,6.6029
01/12/2020,6.5393
01/01/2021,6.4672
01/02/2021,6.4601
01/03/2021,6.5109
01/04/2021,6.5186
01/05/2021,6.4321
01/06/2021,6.425
01/07/2021,6.4763
01/08/2021,6.4768
01/09/2021,6.4563
01/10/2021,6.4172
01/11/2021,6.3889
01/12/2021,6.3693
01/01/2022,6.3556
01/02/2022,6.3436
01/03/2022,6.3446
01/04/2022,6.431
01/05/2022,6.699
01/06/2022,6.6952
01/07/2022,6.7352
01/08/2022,6.8007
01/09/2022,7.0195
01/10/2022,7.1902
01/11/2022,7.1812
01/12/2022,6.9717
01/01/2023,6.7904
01/02/2023,6.838
01/03/2023,6.8909
01/04/2023,6.8876
01/05/2023,6.9854
01/06/2023,7.1614
01/07/2023,7.1863
01/08/2023,7.2486
01/09/2023,7.2979
01/10/2023,7.3071
01/11/2023,7.2226
01/12/2023,7.1402
01/01/2024,7.1707
01/02/2024,7.1935
01/03/2024,7.2015
01/04/2024,7.2374
01/05/2024,7.2327
01/06/2024,7.2547
